lease_id,property_code,unit_num
t0029293,ride0100,0088
t0048891,talw1189,0202
t0048892,talw1189,0203
t0048914,talw1189,0312
t0048888,talw1189,0111
t0048926,talw1189,0411
t0048880,talw1189,0102
t0048882,talw1189,0104
t0048900,talw1189,0211
t0048919,talw1189,0404
t0048909,talw1189,0307
t0048954,talw1189,0701
t0048936,talw1189,0508
t0048949,talw1189,0609
t0048932,talw1189,0504
t0048976,talw1189,0812
t0048967,talw1189,0803
t0048974,talw1189,0810
t0048971,talw1189,0807
t0048958,talw1189,0707
t0048944,talw1189,0603
t0049044,talw1200,0606
t0049056,talw1200,0706
t0048997,talw1200,0209
t0049005,talw1200,0305
t0049009,talw1200,0309
t0049011,talw1200,0311
t0049017,talw1200,0405
t0049018,talw1200,0406
t0049030,talw1200,0505
t0049031,talw1200,0506
t0049044,talw1200,0606
t0049042,talw1200,0604
t0049085,talw1200,0909
t0049089,talw1200,0913
t0049063,talw1200,0713
t0049069,talw1200,0806
t0049066,talw1200,0803
t0048984,talw1200,0107
t0048986,talw1200,0109
t0048993,talw1200,0205
t0048995,talw1200,0207
